Name,Type,Manufacturer,Year,Notes,Country
Futurliner,Single deck,General Motors Truck & Coach,1939,,USA
FX212 Super Cruiser,Single deck,Daewoo Bus,2007 to present,,South Korea
Gala Mio,Single deck,Isuzu,1999,,Japan
Gala,Single deck,Isuzu,1996,,Japan
Gemini 2,Double deck,Wrightbus,2007 to 2013,Hybrid-electric,United Kingdom
Global 900 (Greencity),Single deck bus,Hyundai Motor Company,,,South Korea
Globus,Single deck,,,,India
GM Standard,Double deck body,Park RoyalNorthern Counties,,Design exclusive to SELNEC/Greater Manchester Passenger Transport Executive.,United Kingdom
Granbird,Single deck coach,Kia Motors,1994 to present,,South Korea
Greenway,Single deck,East Lancashire Coachbuilders,,Leyland National rebuilt by East Lancs,United Kingdom
Grumman 870,Single deck,GrummanFlxible,1978 to 1983,"Succeeded by the similar Flxible Metro, listed below (under Metro).",USA
GTS-1,Single deck,,2006 to present,Amphibious,Malta
H6B,Single deck,IFA,1952 to 1959,,East Germany
H9,Single deck,Autosan,1973 to 2006,,Poland
H10,Single deck,Autosan,1984 to 2003,,Poland
H350,Minibus,Hyundai Motor Company,2014 to present,,South Korea
Handybus,Single deck,Wrightbus,1990 to 1995,Bodywork,United Kingdom
HiAce,Minibus,Toyota,1967 to present,,Japan
Hispano Globus,Single deck,Tata Motors,,,India
High Floor,Single Deck,New Flyer Industries,1987 to 2006,,Canada
IK-201,Single deck,Ikarbus,1993 to 2006,Articulated,Serbia
IK-202,Single deck,Ikarbus,1996 to 2005,Articulated,Serbia
IK-206,Single deck,Ikarbus,2006 to present,Articulated,Serbia
Integro,Single deck,Mercedes-Benz,1996 to present,,Germany
Interliner,Single deck,VDL Berkhof,,,The Netherlands
Interlink,Single deck,Scania AB,2016 to present,,Sweden
InterUrbino,Single deck,Solaris Bus & Coach,2010 to present,,Poland
Intouro,Single deck,Mercedes-Benz,1999 to present,,Germany
Invero,Single deck,New Flyer Industries,2002 to 2007,,CanadaUSA
Javelin,Single deck,Dennis Specialist Vehicles,1987 to 2010,,United Kingdom
JJL,Single deck,Bedford Vehicles,1979,,United Kingdom
JNP6105GR,Single deck,Youngman,2012 to present,Based on the Neoplan Centroliner,China
JNP6120G,Single deck,Youngman,2005 to present,Based on the Neoplan Centroliner,China
JNP6122GR1,Single deck,Youngman,,,China
JNP6130GSC,Double deck,Youngman,,,China
JNP6140GVC,Single deck,Youngman,,Based on the Neoplan Centroliner,China
JNP6180G,Single deck,Youngman,,ArticulatedBased on the Neoplan Centroliner,China
JNP6181GVC,Single deck,Youngman,,Articulated,China
JNP6250G,Single deck,Youngman,2007,Bi-articulated,China
Journey,Minibus,Isuzu,1970 to present,OEM of Nissan Civilian since 1993,Japan
Journey-K,Single deck,Isuzu,1984 to 1999,,Japan
Journey-Q,Single deck,Isuzu,1976 to 2001,,Japan
Jubilant,Double deck,Dennis Bros,1977,,United Kingdom
Jumbocruiser,Double deck,Neoplan,1975,4-axle articulated coach,Germany
K-series,Single/double deck,Scania AB,2006 to present,,Sweden
K-type,Double deck,Associated Equipment Company,1919 to 1926,,United Kingdom
K9,Single deck,BYD Auto,2010,Electric,ChinaUnited States
K94,Single/double deck,Scania AB,,,Sweden
K114,Single deck,Scania AB,,,Sweden
K124,Single/double deck,Scania AB,,,Sweden
K4010TD,Single,Neoplan Polska,1999,,Poland
K4016TD,Single,Neoplan Polska,1998 to 1999,,Poland
Kinetec,Single deck,East Lancashire Coachbuilders,,Bodywork,United Kingdom
Kinetec+,Double deck,East Lancashire Coachbuilders,,Bodywork,United Kingdom
Kronos 122,Single deck,TEDOM,2006,,Czech Republic
Kronos 123,Single deck,TEDOM,2004 to 2006,,Czech Republic
L 12,Single deck,TEDOM,2006 to 2012,,Czech Republic
L 319,Minibus,Mercedes-Benz,1955,,Germany
L11,Single deck,Jelcz,1987 to 1989,,Poland
L94,Single deck,Scania AB,1997 to 2006,,Sweden
L113,Single deck,Scania AB,1989 to 1998,,Sweden
Lahti Scala,Single deck,Lahden Autokori,2001 to 2013,,Finland
Lance,Single deck chassis,Dennis Bros,1991 to 2000,,United Kingdom
Lancet,Single deck,Dennis Bros,1981 to 1991,,United Kingdom
Laser,Single deck,Duple Coachbuilders,1983 to 1986,Bodywork,United Kingdom
"LC 7,5",Single deck,SOR Libchavy,,,Czech Republic
"LC 9,5",Single deck,SOR Libchavy,,,Czech Republic
"LC 10,5",Single deck,SOR Libchavy,,,Czech Republic
LC 12,Single deck,SOR Libchavy,,,Czech Republic
LC 735,Single deck,Karosa,,,Czech Republic
LC 736,Single deck,Karosa,,,Czech Republic
LC 737,Single deck,Karosa,,,Czech Republic
LC 757,Single deck,Karosa,,,Czech Republic
LC 936,Single deck,Karosa,,,Czech Republic
LC 937,Single deck,Karosa,,,Czech Republic
LC 956,Single deck,Karosa,,,Czech Republic
LC 957,Single deck,Karosa,,,Czech Republic
Legionnaire,Single deck,Thomas Harrington & Sons,,Bodywork,United Kingdom
Leopard,Single deck,Leyland Motors,1959,,United Kingdom
Levante,Single Deck,Salvador Caetano,2005 to present,Bodywork,United Kingdom
LFS,Single deck,Nova Bus,1996 to present,,Canada
LH,Single deck,Bristol Commercial Vehicles,1967 to 1982,,United Kingdom
"LH 9,5",Single deck,SOR Libchavy,,,Czech Republic
"LH 10,5",Single deck,SOR Libchavy,,,Czech Republic
LH 12,Single deck,SOR Libchavy,2005 to present,,Czech Republic
Liberator,Single deck,Wrightbus,,Bodywork for Volvo B10L,United Kingdom
Liesse,Minibus,Hino Motors,1995,,Japan
Lion (PSR1),Single deck,Leyland Motors,1960,,United Kingdom
Lion's City,Single/double deck,MAN Truck & Bus,1996 to present,,Germany
Lion's Coach,Single deck,MAN Truck & Bus,1996 to present,,Germany
Lion's Intercity,Single deck,MAN Truck & Bus,2015 to present,,Germany
Lodekka,Double deck,Bristol Commercial Vehicles,1949,,United Kingdom
Loline,Double deck,Dennis Bros,1958 to 1967,,United Kingdom
Lolyne,Double deck,East Lancashire Coachbuilders,,Bodywork for Dennis Trident 2,United Kingdom
Lorraine,Single deck,Iveco,1981 - 1993,Based on Fiat 370,France
Low Floor,Single deck,Gillig Corporation,1996,,USA
Low Floor,Single Deck,New Flyer Industries,1989-2013 (LF Series)2005-2014 (LFR Series),,Canada
Lowlander (Albion),Double deck,Albion Motors,1961,,United Kingdom
Lowlander (East Lancs),Double deck,East Lancashire Coachbuilders,,"Bodywork for DAF DB250, not built",
Lynx,Single deck,Leyland Motors,1984,,United Kingdom
M11,Single deck,Jelcz,1989 to 1992,,Poland
M125M,Single deck,Jelcz,1998 to 2006,,Poland
Mancunian,Double deck,,,Bodywork,United Kingdom
Marcopolo Starbus,Single deck,Tata Marcopolo,2008,,India
Master,Minibus,Marshall Bus,,Bodywork for Mercedes-Benz Vario,
MaxCi,Single deck,East Lancashire Coachbuilders,,Bodywork,
Maxus,Minibus,LDV Group,2004 to 2009,,United Kingdom
MB200,Single deck,DAF,1965,,The Netherlands
MCW Metrobus,Double deck,Metro Cammell Weymann,1977 to 1989,,United Kingdom
MDi,Single deck,Bustech,,Bodywork,Australia
Megaliner,Double deck,Neoplan,1983 to 2000,,Germany
Melpha,Single deck,Hino Motors,1998,,Japan
Meridian,Single deck,Wrightbus,2007,Bodywork for MAN A22,
Metro,Single deck,Flxible,1983 to 1995,"See also the related, predecessor model, the Grumman 870, above.",USA
Metro,Single deck,Iveco Bus,2005 to present,,France
Metrobus,Single deck,MAN and Krauss-MaffeiAutobuzul BucharestIkarus Zemun,1959 to 1981,"Production between 1959-1973. Licensed production as Roman 111/112 (1974-1980), and Ikarus MAN IK-5/6 (1972-1981).",GermanyRomaniaYugoslavia
MetroCity,Single deck,Optare,2013,,United Kingdom
MetroDecker,Double deck,Optare,2014,,United Kingdom
Metroliner,Single/double deck,Metro Cammell Weymann,1983,,United Kingdom
Metropolitan,Double deck,Saab-Scania and Metro Cammell Weymann,1973,Scania BR111DH underframe with MCW bodywork,Sweden
Metrorider,Single deck,Metro Cammell Weymann,1986,,United Kingdom
MetroRider,Single deck,Optare,1989,,United Kingdom
Micro Bird,School bus,Blue Bird Body Company (1948-1992)Blue Bird Corporation (1992–present),1975,,USA
Mini Bird,School bus,Blue Bird Corporation,1977 to 2005[citation needed],,USA
Minotour,School bus,Thomas Built Buses,1980,,USA
MultiClass S 300,Single deck,Setra,,,Germany
MultiClass S 400,Single deck,Setra,,,Germany
MW,Single deck,Bristol Commercial Vehicles,1956 to 1967,,United Kingdom
Myllennium Lolyne,Double deck,East Lancashire Coachbuilders,,Bodywork for Dennis Trident 2,
Myllennium Lowlander,Double deck,East Lancashire Coachbuilders,,Bodywork for DAF/VDL DB250,
Myllennium Nordic,Double deck,East Lancashire Coachbuilders,,Bodywork for tri-axle Volvo B9TL,
Myllennium Vyking,Double deck,East Lancashire Coachbuilders,,Bodywork for Volvo B7TL,
Myllennium,Single deck,East Lancashire Coachbuilders,,Bodywork,
MyWay,Single deck,Iveco-Irisbus,1999 to 2007,,Italy
NO,Single deck,Praga,,,Czech Republic
N-series,Single/double deck,Scania AB,,,Sweden
N52,Single deck,SFA,1952 to 1957,,Poland
N94,Single/double deck,Scania AB,1997 to 2006,,Sweden
N112,Single/double deck,Scania AB,1978 to 1987,,Sweden
N113,Single/double deck,Scania AB,1988 to 2000,,Sweden
N407,Single deck,Neoplan,1989 to 1992,,Germany
N4009,Single deck,Neoplan,1988 to 1999,,Germany/Poland
N4016,Single deck,Neoplan,1988 to 1999,,Germany/Poland
N4020,Single deck,Neoplan,1993 to 1999,,Germany/Poland
N4021,Single deck,Neoplan,1988 to 1999,Articulated,Germany/Poland
National,Single deck,Leyland Motors,1972 to 1985,,United Kingdom
Navigo,Single deck,Otokar,2008 to Present,,Turkey
NB 12,Single deck,SOR Libchavy,2008 to present,,Czech Republic
NB 18,Single deck,SOR Libchavy,2008 to present,Articulated,Czech Republic
NC,Double deck,Edwin Foden Sons & Co,1975 to 1978,,United Kingdom
NC 18,Single deck,SOR Libchavy,,Articulated,Czech Republic
NDO,Single deck,Praga,1938 to 1948,,Czech Republic
NeoLAZ,Single deck,Lviv Bus Factory,,,Ukraine
New Look (Flxible),Single-deck,Flxible,1960 to 1978,,USA
New Look (GMC),Single-deck,General Motors Truck & Coach,1959 to 1986,US version ceased production in 1977; Canadian version ended production in 1986.,USA
New Routemaster,Double deck,Wrightbus,2011 to 2017,,United Kingdom
NG272,Single deck,MAN Truck & Bus,1990 to 1992,Articulated,Germany
NG272(2),Single deck,MAN Truck & Bus,1992 to 2000,Articulated,Germany
Nimbus (Albion),Single deck,Albion Motors,1953,,United Kingdom
Nimbus (Caetano),Single deck,Salvador Caetano,1999 to 2007,Bodywork,United Kingdom
Nimbus (Wright),Single deck,Wrightbus,,Bodywork,United Kingdom
NL202,Single deck,MAN Truck & Bus,1989 to 1992,,Germany
NL262,Single deck,MAN Truck & Bus,1992 to 1998,,Germany
Nordic,Double deck,East Lancashire Coachbuilders,,,United Kingdom
NS 12,Single deck,SOR Libchavy,,Diesel/electric,Czech Republic
NS 18,Single deck,SOR Libchavy,,Articulated,Czech Republic
O302,Single deck,Mercedes-Benz,1965 to 1976,,Germany
O303,Single deck,Mercedes-Benz,1974 to 1992,,Germany
O305,Single/double deck,Mercedes-Benz,1969 to 1987,,Germany
O309,Minibus,Mercedes-Benz,1967 to 1986,,Germany
O370,Single deck,Mercedes-Benz,,,Brazil
O371,Single deck,Mercedes-Benz,1983,,Brazil
O373,Single deck,Mercedes-Benz,1990[1],,Argentina
O374,Single deck,Mercedes-Benz,1994[2],,Argentina
O404,Single deck,Mercedes-Benz,1992 to 1999,,Germany
O405,Single deck,Mercedes-Benz,1983 to 2001,,Germany
O3500,Single deck,Mercedes-Benz,1949 to 1955,,Germany
OA 101,Single deck,El Detalle,1987,,Argentina
OA 101[3],Single deck,El Detalle,1987,,Argentina
OA 104[4],Single deck,El Detalle,1994,,Argentina
OA 105[5],Single deck,El Detalle,1994,,Argentina
OC 500LE,Single deck,Mercedes-Benz,,,
Old Look,Single deck,Yellow Coach (1940-1944)General Motors Truck & Coach (1944-1959),1940 to 1969,,USA
Olymbus,Single deck,DesignLine Corporation,,Hybrid electric,
Olympian (Leyland-MCW),Single deck,Leyland MotorsMetro Cammell Weymann,1954 to 1958,,United Kingdom
Olympian (Leyland),Double deck,Leyland Motors,1980 to 1993,,United Kingdom
Olympian (Volvo),Double deck,Volvo Buses,1992 to 2000,,Sweden
Olympic,Single deck,Leyland MotorsMetro Cammell Weymann,1949 to 1971,,United Kingdom
Olympus,Double deck,East Lancashire CoachbuildersOptare,2006 to 2011,"Bodywork, originally launched as East Lancs Olympus",United Kingdom
OmniCity,Single/double deck,Scania AB,1996 to 2012,,Sweden
OmniDekka,Double deck,East Lancashire CoachbuildersOptare,2003 to 2011,Bodywork for Scania N94UD/NUD chassis,United Kingdom
OmniExpress,Single deck,Scania AB,2007 to 2017,,Sweden
OmniLine,Single deck,Scania AB,2000 to 2009,,Sweden
OmniLink,Single deck,Scania AB,1998 to 2013,,Sweden
OmniTown,Single deck,Scania ABEast Lancashire Coachbuilders,2002 to 2007,Scania N94UB with East Lancashire Coachbuilders bodywork,United Kingdom
Optimus,Single/double deck,Volgren,2013 to present,Bodywork,Australia
Opus 2,Single deck,East Lancashire Coachbuilders,,Bodywork,
Orana,Single deck,Ansair (1993 to 1997)Phoenix Bus (1997 to 1998),1993 to 1998,Bodywork,Australia
Orion I,Single deck,Orion International,1977 to 1993,,Canada
Orion II,Single deck,Orion International,1983 to 2003,,Canada
Orion III/Orion-Ikarus 286,Single deck,Orion InternationalIkarus Bus,1986 to 1989,,HungaryCanada
Orion IV,Single deck,Orion International,1985 to 1989,"Used in Niagara Falls, Ontario aka Orion-PeopleMover",Canada
Orion V,Single deck,Orion International,1989 to 2009,,Canada
Orion VI,Single deck,Orion International,1995 to 2004,,Canada
Orion VII,Single deck,Orion International,2002 to 2007,(First Generation),Canada
Orion VII Next Generation/EPA10,Single deck,Orion International,2007 to 2012,Ceased production after Orion shut down in 2012,Canada
Paladin,Single deck,Northern Counties,,Bodywork,
Palatine,Double deck,Northern Counties,,Bodywork,
Panaire,Single deck,,,"Open-top bodywork. As of June 2008 no orders have been placed, and none have been built.",
Panorama Elite,Single deck,Plaxton,1968 to 1975,Bodywork,
Panther Cub,Single deck,Leyland Motors,1964,,
Panther,Single deck,Leyland Motors,1964,,
Paragon,Single deck,Plaxton,1999,Bodywork,
Paramount,Single/double deck,Plaxton,1982 to 1991,Bodywork,
Pathfinder,Single deck,Wrightbus,1993,Bodywork,
PB,Coach,,,,
PD-4501 Scenicruiser,Two-level coach,General Motors Truck & Coach,1954 to 1956,,
Pennine 7,Single deck,,,,
Pennine RU,Single deck,,,,
Phantom (school bus),School bus,Gillig Corporation,1986 to 1993,,
Phantom,Single deck,Gillig Corporation,1982 to 2008,,
Pilot,Minibus,LDV Group,1996 to 2006,,United Kingdom
Pointer/Pointer 2,Single deck,Reeve BurgessPlaxtonTransBusAlexander Dennis,,Bodywork,United Kingdom
Poncho,Single deck,Hino Motors,2002 to present,,Japan
PR100,Single deck,BerlietRenault,1971 to 1999,,France
PR100.3,Single deck,Renault,,Based on the Renault R312,France
PR110,Single deck,Jelcz,1975 to 1992,,Poland
PR110D,Single deck,Jelcz,1984 to 1992,,Poland
PR180.2,Single deck,Renault,,Articulated,France
Premiere,Single deck,Plaxton,1991,Bodywork,United Kingdom
President,Double deck,Plaxton,1999 to 2005,Bodywork,United Kingdom
Prestige,Single deck,Northern CountiesPlaxton,,Bodywork,United Kingdom
Primo,Minibus,Plaxton,2005 to 2010,Built on the structure of Enterprise Bus' Plasma,United Kingdom
Prisma,Single deck,Optare,1995,Bodywork,United Kingdom
Profile,Single deck,Plaxton,2002 to 2012,Bodywork,United Kingdom
Pronto,Single deck,Plaxton,,Bodywork,United Kingdom
PS type,Single deck,Walter Alexander Coachbuilders,1988 to 1998,Bodywork,United Kingdom
Pulsar,Single deck,Wrightbus,2006 to 2014,Bodywork for VDL SB200,United Kingdom
Pulsar Gemini,Double deck,Wrightbus,2003 to 2006,Bodywork built for DAF/VDL DB250,United Kingdom
Pulsar Gemini HEV,Double deck,Wrightbus,2006,Hybrid-electric,United Kingdom
Pyoneer,Double deck,East Lancashire Coachbuilders,,Bodywork,United Kingdom
Q-type,Single/double deck,Associated Equipment Company,1932,,United Kingdom
R312,Single deck,Renault Bus,1987 to 1995,,France
R-Series (Dennis),Single Deck,DennisTransBus,,,United Kingdom
R-Series (Ford),Single deck,Ford,,,United Kingdom
Radial,Single deck,VDL Berkhof,,,The Netherlands
Rainbow,Single deck,Hino Motors,1980 to present,,Japan
Rapta,Double deck,Optare,2008,Never entered production,
RB,Single deck,Hyundai Motor Company,,,South Korea
RE,Single deck,Bristol Commercial Vehicles,1962,,United Kingdom
Récréo,Single deck,KarosaRenault,,,Czech Republic
Récréo,Single deck,Irisbus,,,Czech Republic
Regal VI,Single deck,Associated Equipment Company,1960 (circa),,United Kingdom
Regent II,Double deck,Associated Equipment Company,,,United Kingdom
Regent III RT,Double deck,Associated Equipment Company,1950 (circa),,United Kingdom
Regent III,Double deck,Associated Equipment Company,,,United Kingdom
Regent V,Double deck,Associated Equipment Company,1954,,United Kingdom
Reliance,Single deck bus/coach,Associated Equipment Company,1953,,United Kingdom
Renown (AEC),Double deck,Associated Equipment Company,1962 to 1967,,United Kingdom
Renown (Wright),Single deck,Wrightbus,1997 to 2002,Bodywork for Volvo B10BLE,United Kingdom
RN,Single deck,Praga,,,Czech Republic
Roadliner,Single deck,Daimler,1962 to 1972,,United Kingdom
Rosa,Minibus,Mitsubishi Fuso Truck & Bus Corporation,1960 to present,,Japan
Routemaster,Double deck,Associated Equipment Company,1954,,United Kingdom
Royal Tiger Worldmaster,Single deck,Leyland Motors,,,United Kingdom
Royal Tiger,Single deck,Leyland Motors,1982,,United Kingdom
RT-52,Single deck,Chance Coach,,,
RTS,Single deck,General Motors Truck & Coach (1977–1987)Motor Coach Industries (1987–1995)Nova Bus (1995–2003)Millennium Transit Services (2006–2009),1977 to 2009,,"Canada (Nova Bus/MCI)
USA (General Motors)"
S-Series,School bus,International Harvester (1979-1986)Navistar International (1986-1989),1978 to 1989,"Also marketed as the ""Schoolmaster"".",
S'elega,Single deck,Hino Motors,1990,,Japan
Sabre,Single deck,Associated Equipment Company,1968,,United Kingdom
Saf-T-Liner C2,School bus,Thomas Built Buses,2004,,
Saf-T-Liner,School bus,Thomas Built Buses,1978,,
Safari,Single deck,,2000,,
Sancity 18 LF,Single deck,Autosan,2012,,
SB,Single deck,Karosa,,,Czech Republic
SB,Single deck,Bedford Vehicles,,,United Kingdom
SB50,Single deck,Custom Bus,,Bodywork,Australia
SB120,Single deck,DAF Bus/VDL Bus,,Originally launched as the DAF SB120,
SB122,Minibus,Slovbus,1998 to 2002,,Slovakia
SB134,Single deck,Slovbus,1997 to 2007,,Slovakia
SB135,Single deck,Slovbus,1999 to 2003,,Slovakia
SB200,Single deck,DAF Bus/VDL Bus,,Originally launched as the DAF SB200,
SB220,Single deck,,,,
SB235 Patria,Single deck,Slovbus,2003 to 2010,,Slovakia
SB250,Single deck,DAF Bus/VDL Bus,,Originally launched as the DAF SB250,
SB400,Single deck,Custom Bus,,Bodywork,Australia
SC222,Single deck,Volgren,,Bodywork,Australia
SDi,Single deck,Bustech,,Bodywork,Australia
SG 220,Single deck,MAN,,Articulated,
Sigma,Single deck,Optare,1994 to 1996,Bodywork,United Kingdom
Skyliner,Double deck,Neoplan,1967 to present,,Germany
SL200,Single deck,MAN Truck & Bus,,,Germany
SL202,Single deck,MAN Truck & Bus,,,Germany
SLF,Single deck,UD Trucks,2014,,India
Solar Fusion,Single deck,Wrightbus,,Articulated bodywork for Scania L94UA,
Solar,Single deck,Wrightbus,,Bodywork for Scania L94UB,
Solcity 12 LNG,Single deck,Solbus,2012,,
Solera,Single deck,Optare,,,
Solo,Single deck,Optare,1997,,
Soroco,Minibus,Optare,,,
Space Arrow,Single deck,Nissan Diesel,1985,,Japan
Space Dream,Double deck,Nissan Diesel,1983,,Japan
Space Runner 7,Single deck,Nissan Diesel,1994,,Japan
Space Runner A,Single deck,Nissan Diesel,2007,,Japan
Space Runner JP,Single deck,Nissan Diesel,1994,,Japan
Space Runner RA,Single deck,Nissan Diesel,2005,,Japan
Space Runner RM,Single deck,Nissan Diesel,1975,,Japan
Space Runner RP,Single deck,Nissan Diesel,1986,,Japan
Spectra,Double deck,Optare,1991 to 2005,Bodywork for DAF/VDL DB250,
Sprinter City,Minibus,Mercedes-Benz Buses,1995,,
Sprinter City,Minibus,Freightliner Trucks,1995,,
Spryte,Single deck,East Lancashire Coachbuilders,,Bodywork,United Kingdom
SRM,Double deck,Wrightbus,,New Routemaster-style bodywork for Volvo B5LH,United Kingdom
Starbus,Single deck,Tata Motors,2006,,India
Starliner,,Neoplan,1996 to 2015,,Germany
StarRider,Minibus,Optare,1987 to 1994,Bodywork,United Kingdom
Stratos,Minibus,SKD Trade,,,Czech Republic
StreetAir,Single deck,Wrightbus,2017,Battery-electric,United Kingdom
StreetCar,Single deck,Wrightbus,2006,"Bodywork for Volvo B7LA and Hess chassis, for bus rapid transit",United Kingdom
StreetDeck,Double deck,Wrightbus,2014,,United Kingdom
StreetLite,Single deck,Wrightbus,2010,,United Kingdom
Strider,Single deck,Walter Alexander Coachbuilders,1993,Bodywork,United Kingdom
SU,Single deck,Bristol Commercial Vehicles,1960-1966,,United Kingdom
Super Cruiser,Single deck,Isuzu,1986 to 1996,,Japan
Super Olympian,Double deck,Volvo Buses,1998,,United KingdomPoland
Supreme,Single deck,Plaxton,1974,Bodywork,United Kingdom
Swift (AEC),Single deck,Associated Equipment Company,1964,,United Kingdom
Swift (Leyland),Single deck,Leyland Motors,1987,,United Kingdom
T-type,Double deck,Associated Equipment Company,1920,,United Kingdom
T 11,Single deck,Škoda Transportation,1964 to 1967,Trolleybus,Czech Republic
T2,Minibus,Mercedes-Benz,,,Germany
TC/2000,School bus,Blue Bird Corporation,1988 to 2003,,USA
TDH-4801TDM-4801,Single deck,General Motors Truck & Coach,1953 to 1958,"Special version of the GM ""old-look"" transit bus for California.",USA
Tempo,Single deck,Optare,2004,,United Kingdom
Terra Bus,Single deck,Foremost,,Off-road vehicle,
Tiger (front-engined),Single deck,Leyland Motors,,,United Kingdom
Tiger (mid-engined),Single deck,Leyland Motors,1979,,United Kingdom
Tiger Cub,Single deck,Leyland Motors,1951,,United Kingdom
Titan (B15),Double deck,Leyland Motors,1977 to 1984,,United Kingdom
Titan (front-engined),Double deck,Leyland Motors,1927 to 1942; 1945 to 1970,,United Kingdom
Titanium,Single deck,Nogebus,,Chassis: MAN 18.440,
TN,Minibus,Mercedes-Benz,,,Germany
TN,Single deck,Renault,1932 to 1940,,France
TN 12,Single deck,SOR Libchavy,,Trolleybus,Czech Republic
TNB 12,Single deck,SOR Libchavy,,Trolleybus,Czech Republic
TNB 18,Single deck,SOR Libchavy,,Articulated trolleybus,Czech Republic
TopClass S 300,,Setra,,,Germany
TopClass S 400,Single/double deck,Setra,,,Germany
TopClass S 500,Single/double deck,Setra,,,Germany
Toro,Single deck,Optare,,,
TOT,Single deck,Praga,,Trolleybus,Czech Republic
Touring HD,Single deck,Scania AB,2014 to present,Produced in China by Higer Bus,
Tourismo,Single-deck coach,Mercedes-Benz,,,Germany
Tourliner,,Neoplan,2003 to present,,Germany
Tourneo,Minibus,Ford,,,
Tracer,Single deck,,,,France
Transit Coach School Bus,School bus,Gillig Brothers (1940-1969)Gillig Corporation (1969-1982),1940 to 1982,,
Transit,Minibus,Ford,1965,Numerous Ford transit minivans and minibuses were produced. This image shows the London Transport bus FS19 (image taken 1978).,
Transit Bus (Ford),Single-deck,Ford,1936 to 1947,,
Transliner,Single deck,Neoplan,,,
Transtar,Single deck,,,,
Travego,Single deck,Mercedes-Benz,1999 to 2017,,Germany
Trident 2,Double deck,Dennis / TransBus / Alexander Dennis,1997,,United Kingdom
Trident 3,Double deck,Dennis/TransBus International,1996,,United Kingdom
Trollino,Single deck,Solaris,2002 to present,Trolleybus,Poland
TT,Single deck,Wrightbus,,Bodywork,United Kingdom
Turbocity,Single/double deck,Iveco,1989 to 1996,IVECO 480 : urban servicesIVECO 580 : suburban servicesIVECO 680 : interurban servicesDouble-decker bus with Alexander bodies at Blythswood Vehicles' Glasgow,Italy
Turbocity R,Single/double deck,Iveco,1992 to 1998,IVECO 490 : urban servicesIVECO 590 : suburban & interurban services.,Italy
Turquoise,Minibus,Isuzu,2012 to present,,Japan
U-R,Single deck,Nissan Motors,1959,,Japan
U412,Single deck,Rocar,1994 to 2002,,Romania
U412-DAF,Single deck,Rocar,,,Romania
U412E,Single deck,Rocar,1997 to 2002,Trolleybus,Romania
UA,Single deck,Nissan Diesel,1973 to 2005,,Japan
Universe,Single deck,Hyundai Motor Company,,,South Korea
Urbanway 10M,Single deck,Iveco Bus,2013 to present,Diesel/CNG/Hybrid,FranceCzech Republic
Urbanway 12M,Single deck,Iveco Bus,2013 to present,Diesel/CNG/Hybrid,FranceCzech Republic
Urbanway 18M,Single deck,Iveco Bus,2013 to present,Articuled  Diesel/CNG/Hybrid,FranceCzech Republic
"Urbino 8,9 LE",Single deck,Solaris,2008 to present,Diesel/Electric,Poland
Urbino 9,Single deck,Solaris,2000 to 2002,,Poland
Urbino 10,Single deck,Solaris,2002 to 2018,,Poland
"Urbino 10,5",Single deck,Solaris,2017 to present,,Poland
Urbino 12,Single deck,Solaris,1999 to present,Diesel/Electric/CNG/Hydrogen/Hybrid,Poland
Urbino 12 LE,Single deck,Solaris,2004 to present,Diesel/CNG/Hybrid,Poland
